"excessive","/ɪkˈsesɪv; ekˈsesɪv/","/ɪkˈsesɪv; ekˈsesɪv/","adj. 过度的，过多的"
"pumpkin","/ˈpʌmpkɪn/","/ˈpʌmpkɪn/","n. 南瓜，倭瓜；南瓜藤；<美>小南瓜（一种称呼所爱的人的方式）"
"punctual","/ˈpʌŋktʃuəl/","/ˈpʌŋktʃuəl/","adj. 准时的，守时的；<旧>精确的；（语法）（动作）瞬息性的"
"punctuation","/ˌpʌŋktʃuˈeɪʃ(ə)n/","/ˌpʌŋktʃuˈeɪʃn/","n. 标点符号，标点符号用法；（点断性平衡说提出的）新物种迅速（或突然）的形成"
"punishable","/ˈpʌnɪʃəb(ə)l/","/ˈpʌnɪʃəb(ə)l/","adj. 可以惩罚的，该惩罚的；（尤指）应法办的"
"pupil","/ˈpjuːp(ə)l/","/ˈpjuːp(ə)l/","n. 学生，（尤指）小学生；弟子，门生；瞳孔；<英>见习律师；<法律>未成年人"
"purchase","/ˈpɜːrtʃəs/","/ˈpɜːtʃəs/","n. <正式>购买，采购；<正式>购买的东西；<法律>（非继承性的）财产置得；<正式>紧握，牢牢抓住；（移动重物的）滑轮（或类似装置）<br>v. <正式> 购买，采购；<古>（努力或艰难地）获得，得到；（航海）（用滑轮或杠杆）升起，举起（绳，索，锚）"
"purposeful","/ˈpɜːrpəsf(ə)l/","/ˈpɜːpəsf(ə)l/","adj. 有明确目标的，坚决的；故意的，蓄意的；有意义的"
"purposely","/ˈpɜːrpəsli/","/ˈpɜːpəsli/","adv. 故意地；蓄意地"
"purse","/pɜːrs/","/pɜːs/","n. <英>钱包，皮夹子（尤指女用的）；<美>（女用）手提包，手袋；资金，财源；（体育竞赛中的）奖金<br>v. 噘嘴，撮起嘴唇（以表示反对等）"
"pursue","/pərˈsuː/","/pəˈsjuː/","v. 追求，致力于，执行；继续探讨（或追究、从事）；追逐，跟踪，追赶；沿着……前行；追求（某人）；力劝（某人）接受聘用"
"pagoda","/pəˈɡoʊdə/","/pəˈɡəʊdə/","n. （南亚或东亚的）佛塔"
"patriotism","/ˈpeɪtriətɪzəm/","/ˈpætriətɪzəm; ˈpeɪtriətɪzəm/","n. 爱国主义，爱国精神"
"pile","/paɪl/","/paɪl/","n. 一堆，一叠；一大堆，大量；大笔钱财；（地毯的）绒面；地桩；宏伟建筑物；痔疮；（纹章）（尖头朝下的）楔形普通图记；电池组<br>v. 堆放；堆满；聚集；将（女子头发）高高盘起；蜂拥，拥挤；（车）撞；<非正式>夸大；用桩加固（或支撑）"
"pyramid","/ˈpɪrəmɪd/","/ˈpɪrəmɪd/","n. 金字塔；金字塔形的物体（或一堆东西）；角锥体，棱锥体；（解剖）锥体；金字塔式组织（体系）；金字塔式台球；金字塔式控股；金字塔式骗局<br>v. 把……堆成尖塔（或角锥）形；在（小投资）上获得丰厚的收益；渐增，上涨；（使）渐增，（使）上涨"
